gene_callers_id	detection
38435	DETECTED
38436	NOT DETECTED
38437	NOT DETECTED
38438	DETECTED
38439	DETECTED
38440	DETECTED
38441	DETECTED
38442	DETECTED
38443	DETECTED
38444	DETECTED
38445	DETECTED
38446	DETECTED
38447	DETECTED
38448	DETECTED
38449	DETECTED
38450	DETECTED
38451	DETECTED
38452	DETECTED
38453	DETECTED
38454	DETECTED
38455	DETECTED
38456	DETECTED
38457	DETECTED
38458	DETECTED
38459	DETECTED
38460	DETECTED
38461	DETECTED
38462	DETECTED
38463	DETECTED
38464	DETECTED
38465	DETECTED
38466	DETECTED
38467	DETECTED
38468	DETECTED
38469	DETECTED
38470	DETECTED
38471	DETECTED
38472	DETECTED
38473	DETECTED
38474	DETECTED
38475	DETECTED
38476	DETECTED
38477	DETECTED
38478	DETECTED
38479	DETECTED
38480	DETECTED
38481	DETECTED
38482	DETECTED
38483	DETECTED
38484	DETECTED
38485	DETECTED
38486	DETECTED
38487	NOT DETECTED
38488	DETECTED
38489	DETECTED
38490	DETECTED
38491	DETECTED
38492	NOT DETECTED
38493	DETECTED
38494	NOT DETECTED
38495	DETECTED
38496	NOT DETECTED
38497	DETECTED
38498	DETECTED
38499	DETECTED
38500	DETECTED
38501	DETECTED
38502	DETECTED
38503	DETECTED
38504	DETECTED
38505	DETECTED
38506	DETECTED
38507	DETECTED
38508	DETECTED
38509	DETECTED
38510	DETECTED
38511	DETECTED
38512	DETECTED
38513	DETECTED
38514	DETECTED
38515	DETECTED
38516	DETECTED
38517	DETECTED
38518	DETECTED
38519	DETECTED
38520	DETECTED
38521	DETECTED
38522	DETECTED
38523	DETECTED
38524	DETECTED
38525	DETECTED
38526	DETECTED
38527	NOT DETECTED
38528	DETECTED
38529	NOT DETECTED
38530	DETECTED
38531	DETECTED
38532	DETECTED
38533	DETECTED
38534	DETECTED
38535	DETECTED
38536	DETECTED
38537	DETECTED
38538	DETECTED
38539	DETECTED
38540	DETECTED
38541	DETECTED
38542	NOT DETECTED
38543	DETECTED
38544	NOT DETECTED
38545	DETECTED
38546	DETECTED
38547	DETECTED
38548	DETECTED
38549	DETECTED
38550	DETECTED
38551	DETECTED
38552	DETECTED
38553	DETECTED
38554	DETECTED
38555	DETECTED
38556	DETECTED
38557	DETECTED
38558	DETECTED
38559	DETECTED
38560	DETECTED
38561	DETECTED
38562	DETECTED
38563	DETECTED
38564	NOT DETECTED
38565	DETECTED
38566	DETECTED
38567	DETECTED
38568	DETECTED
38569	DETECTED
38570	DETECTED
38571	DETECTED
38572	DETECTED
38573	DETECTED
38574	DETECTED
38575	DETECTED
38576	DETECTED
38577	NOT DETECTED
38578	NOT DETECTED
38579	NOT DETECTED
38580	NOT DETECTED
38581	DETECTED
38582	DETECTED
38583	DETECTED
38584	DETECTED
38585	DETECTED
38586	DETECTED
38587	DETECTED
38588	DETECTED
38589	DETECTED
38590	DETECTED
38591	DETECTED
38592	DETECTED
38593	DETECTED
38594	DETECTED
38595	DETECTED
38596	DETECTED
38597	DETECTED
38598	DETECTED
38599	DETECTED
38600	DETECTED
38601	DETECTED
38602	DETECTED
38603	DETECTED
38604	DETECTED
38605	DETECTED
38606	DETECTED
38607	DETECTED
38608	DETECTED
38609	DETECTED
38610	DETECTED
38611	DETECTED
38612	DETECTED
38613	DETECTED
38614	DETECTED
38615	DETECTED
38616	DETECTED
38617	DETECTED
38618	DETECTED
38619	DETECTED
38620	DETECTED
38621	DETECTED
38622	DETECTED
38623	DETECTED
38624	DETECTED
38625	NOT DETECTED
38626	DETECTED
38627	DETECTED
38628	DETECTED
38629	DETECTED
38630	DETECTED
38631	DETECTED
38632	DETECTED
38633	DETECTED
38634	DETECTED
38635	DETECTED
38636	DETECTED
38637	DETECTED
38638	DETECTED
38639	DETECTED
38640	DETECTED
38641	DETECTED
38642	DETECTED
38643	DETECTED
38644	DETECTED
38645	DETECTED
38646	DETECTED
38647	DETECTED
38648	DETECTED
38649	DETECTED
38650	DETECTED
38651	DETECTED
38652	DETECTED
38653	DETECTED
38654	DETECTED
38655	DETECTED
38656	DETECTED
38657	DETECTED
38658	DETECTED
38659	DETECTED
38660	DETECTED
38661	DETECTED
38662	DETECTED
38663	DETECTED
38664	DETECTED
38665	DETECTED
38666	NOT DETECTED
38667	DETECTED
38668	DETECTED
38669	DETECTED
38670	DETECTED
38671	DETECTED
38672	DETECTED
38673	NOT DETECTED
38674	DETECTED
38675	DETECTED
38676	DETECTED
38677	DETECTED
38678	DETECTED
38679	DETECTED
38680	DETECTED
38681	DETECTED
38682	DETECTED
38683	DETECTED
38684	DETECTED
38685	DETECTED
38686	DETECTED
38687	DETECTED
38688	DETECTED
38689	DETECTED
38690	DETECTED
38691	DETECTED
38692	DETECTED
38693	DETECTED
38694	DETECTED
38695	DETECTED
38696	DETECTED
38697	DETECTED
38698	DETECTED
38699	DETECTED
38700	DETECTED
38701	DETECTED
38702	DETECTED
38703	DETECTED
38704	DETECTED
38705	DETECTED
38706	DETECTED
38707	DETECTED
38708	DETECTED
38709	DETECTED
38710	DETECTED
38711	DETECTED
38712	DETECTED
38713	DETECTED
38714	DETECTED
38715	DETECTED
38716	DETECTED
38717	DETECTED
38718	DETECTED
38719	DETECTED
38720	DETECTED
38721	DETECTED
38722	DETECTED
38723	DETECTED
38724	DETECTED
38725	DETECTED
38726	DETECTED
38727	DETECTED
38728	DETECTED
38729	DETECTED
38730	DETECTED
38731	DETECTED
38732	DETECTED
38733	DETECTED
38734	DETECTED
38735	DETECTED
38736	DETECTED
38737	DETECTED
38738	DETECTED
38739	DETECTED
38740	DETECTED
38741	DETECTED
38742	DETECTED
38743	DETECTED
38744	DETECTED
38745	DETECTED
38746	DETECTED
38747	DETECTED
38748	DETECTED
38749	DETECTED
38750	DETECTED
38751	DETECTED
38752	DETECTED
38753	DETECTED
38754	DETECTED
38755	DETECTED
38756	DETECTED
38757	DETECTED
38758	DETECTED
38759	NOT DETECTED
38760	DETECTED
38761	DETECTED
38762	DETECTED
38763	DETECTED
38764	DETECTED
38765	DETECTED
38766	DETECTED
38767	DETECTED
38768	DETECTED
38769	DETECTED
38770	DETECTED
38771	DETECTED
38772	DETECTED
38773	DETECTED
38774	DETECTED
38775	DETECTED
38776	DETECTED
38777	DETECTED
38778	DETECTED
38779	DETECTED
38780	DETECTED
