MAG	recipient	outcome	transplant_sample	transplant_mean_cov_Q2Q3
DB_MAG_00065	R05	colonization	DB_D_07	60.840637835600006
DB_MAG_00069	R01	no_colonization	DB_D_08	1.32790966184
DB_MAG_00069	R02	no_colonization	DB_D_11	2.32325116694
DB_MAG_00069	R03	ambiguous	DB_D_14	2.13511327899
DB_MAG_00069	R04	ambiguous	DB_D_13	0.193688603519
DB_MAG_00069	R05	colonization	DB_D_07	0.489037944223
DB_MAG_00073	R01	no_colonization	DB_D_08	12.5128020132
DB_MAG_00073	R02	no_colonization	DB_D_11	2.86886217202
DB_MAG_00073	R03	ambiguous	DB_D_14	10.3374596532
DB_MAG_00073	R04	no_colonization	DB_D_13	6.52262151764
DB_MAG_00073	R05	ambiguous	DB_D_07	34.2340903112
DB_MAG_00078	R01	colonization	DB_D_08	2.3860882494099998
DB_MAG_00078	R02	no_colonization	DB_D_11	2.4313089359799998
DB_MAG_00078	R03	ambiguous	DB_D_14	4.52029455495
DB_MAG_00078	R04	colonization	DB_D_13	3.57658761857
DB_MAG_00078	R05	colonization	DB_D_07	0.7958296898199999
DB_MAG_00079	R01	no_colonization	DB_D_08	5.87603871042
DB_MAG_00079	R02	no_colonization	DB_D_11	9.6773265411
DB_MAG_00079	R03	ambiguous	DB_D_14	0.0157496110156
DB_MAG_00079	R04	no_colonization	DB_D_13	10.5558205535
DB_MAG_00079	R05	no_colonization	DB_D_07	3.7832287405800002
DB_MAG_00082	R01	no_colonization	DB_D_08	33.894859354
DB_MAG_00082	R02	no_colonization	DB_D_11	33.169504785
DB_MAG_00082	R03	colonization	DB_D_14	7.8520106719500005
DB_MAG_00082	R04	no_colonization	DB_D_13	26.4690305552
DB_MAG_00082	R05	colonization	DB_D_07	50.227527825900005
DB_MAG_00083	R01	no_colonization	DB_D_08	3.65553167768
DB_MAG_00083	R02	no_colonization	DB_D_11	10.047528806799999
DB_MAG_00083	R03	ambiguous	DB_D_14	0.021918887211599996
